timestamp,chunk_size,chunk_overlap,top_k,temperature,relevance_threshold,sigmoid_midpoint,sigmoid_steepness,avg_response_time_sec,total_tokens,estimated_cost_usd,mode_rag_count,mode_no_answer_count,mode_off_topic_count,mode_error_count,avg_relevance_score,avg_rag_score,avg_rag_specificity,avg_rag_relevance,avg_rag_factuality,rel_mean_pos,rel_mean_neg,rel_gap,rel_margin,notes
12/10/25 15:43,3000,500,4,0.2,0.55,0.48,14,13.7,839,$0.00 ,3,1,2,0,0.666,7.78,8,8.33,7,0.851,0.419,0.432,0.33,Strict RAG Evaluation: 3/6 answered.
12/10/25 15:47,3000,500,4,0.2,0.55,0.48,16,14.63,988,$0.00 ,3,1,2,0,0.681,7.56,7.67,8,7,0.88,0.409,0.471,0.359,Strict RAG Evaluation: 3/6 answered.
12/10/25 15:51,3000,500,4,0.2,0.55,0.48,18,13.79,892,$0.00 ,3,1,2,0,0.693,8.5,8.5,9.5,7.5,0.904,0.399,0.505,0.383,Strict RAG Evaluation: 2/6 answered.
12/10/25 15:55,3000,500,4,0.2,0.55,0.48,20,13.38,565,$0.00 ,2,2,2,0,0.704,8,8.33,8.33,7.33,0.923,0.389,0.534,0.403,Strict RAG Evaluation: 3/6 answered.
12/10/25 15:58,3000,500,4,0.2,0.55,0.5,8,11.83,625,$0.00 ,2,2,2,0,0.571,8.67,8.67,9.67,7.67,0.698,0.414,0.285,0.221,Strict RAG Evaluation: 3/6 answered.
12/10/25 16:02,3000,500,4,0.2,0.55,0.5,10,12.64,740,$0.00 ,3,1,2,0,0.586,8.33,8,9,8,0.741,0.393,0.347,0.27,Strict RAG Evaluation: 2/6 answered.
12/10/25 16:05,3000,500,4,0.2,0.55,0.5,12,12.55,730,$0.00 ,2,2,2,0,0.6,7.67,8,8.33,6.67,0.779,0.374,0.405,0.316,Strict RAG Evaluation: 3/6 answered.
12/10/25 16:09,3000,500,4,0.2,0.55,0.5,14,13.92,908,$0.00 ,3,1,2,0,0.612,8.56,8.33,9.33,8,0.813,0.355,0.458,0.358,Strict RAG Evaluation: 3/6 answered.
12/10/25 16:12,3000,500,4,0.2,0.55,0.5,16,13.51,850,$0.00 ,3,1,2,0,0.623,8.5,8.5,9.5,7.5,0.842,0.337,0.505,0.397,Strict RAG Evaluation: 2/6 answered.
12/10/25 16:15,3000,500,4,0.2,0.55,0.5,18,14.78,1000,$0.00 ,3,1,2,0,0.633,8.67,8.67,9.67,7.67,0.868,0.32,0.548,0.432,Strict RAG Evaluation: 3/6 answered.
12/10/25 16:19,3000,500,4,0.2,0.55,0.5,20,11.73,595,$0.00 ,2,2,2,0,0.641,8.5,8.5,9.5,7.5,0.89,0.304,0.586,0.464,Strict RAG Evaluation: 2/6 answered.
12/10/25 16:26,3000,500,4,0.2,0.55,0.52,8,12.16,590,$0.00 ,2,1,3,0,0.531,9.17,9,10,8.5,0.664,0.373,0.291,0.231,Strict RAG Evaluation: 2/6 answered.
12/10/25 16:31,3000,500,4,0.2,0.55,0.52,10,9.61,612,$0.00 ,2,1,3,0,0.538,8.67,8.5,9.5,8,0.7,0.344,0.357,0.285,Strict RAG Evaluation: 2/6 answered.
12/10/25 16:36,3000,500,4,0.2,0.55,0.52,12,9.38,594,$0.00 ,2,1,3,0,0.544,8,8,9,7,0.735,0.316,0.418,0.336,Strict RAG Evaluation: 2/6 answered.
12/10/25 16:39,3000,500,4,0.2,0.55,0.52,14,10.72,770,$0.00 ,2,1,3,0,0.55,8.5,8.5,9.5,7.5,0.766,0.29,0.476,0.386,Strict RAG Evaluation: 2/6 answered.
12/10/25 16:41,3000,500,4,0.2,0.55,0.52,16,9.41,610,$0.00 ,2,1,3,0,0.556,8.5,8.5,9.5,7.5,0.795,0.266,0.529,0.433,Strict RAG Evaluation: 2/6 answered.
12/10/25 16:45,3000,500,4,0.2,0.55,0.52,18,9.48,617,$0.00 ,2,1,3,0,0.561,8.5,8.5,9.5,7.5,0.821,0.244,0.577,0.477,Strict RAG Evaluation: 2/6 answered.
12/10/25 16:49,3000,500,4,0.2,0.55,0.52,20,9.59,631,$0.00 ,2,1,3,0,0.566,8.5,8.5,9.5,7.5,0.844,0.224,0.621,0.518,Strict RAG Evaluation: 2/6 answered.
12/10/25 16:52,3000,500,4,0.2,0.55,0.55,8,5.99,481,$0.00 ,2,0,4,0,0.474,8.5,8.5,9.5,7.5,0.608,0.319,0.289,0.231,Strict RAG Evaluation: 2/6 answered.
12/10/25 16:57,3000,500,4,0.2,0.55,0.55,10,10.43,726,$0.00 ,2,1,3,0,0.47,9,9,10,8,0.634,0.28,0.354,0.286,Strict RAG Evaluation: 2/6 answered.
12/10/25 17:00,3000,500,4,0.2,0.55,0.55,12,9.79,647,$0.00 ,2,1,3,0,0.466,8.67,8.5,9.5,8,0.659,0.245,0.414,0.338,Strict RAG Evaluation: 2/6 answered.
12/10/25 17:02,3000,500,4,0.2,0.55,0.55,14,10.67,639,$0.00 ,2,1,3,0,0.463,9,9,10,8,0.683,0.213,0.47,0.388,Strict RAG Evaluation: 2/6 answered.
12/10/25 17:05,3000,500,4,0.2,0.55,0.55,16,10.37,724,$0.00 ,2,1,3,0,0.461,8.5,8.5,9.5,7.5,0.706,0.185,0.521,0.436,Strict RAG Evaluation: 2/6 answered.
12/10/25 17:07,3000,500,4,0.2,0.55,0.55,18,9.22,561,$0.00 ,2,1,3,0,0.46,8.5,8.5,9.5,7.5,0.728,0.16,0.568,0.482,Strict RAG Evaluation: 2/6 answered.
12/10/25 17:09,3000,500,4,0.2,0.55,0.55,20,9.96,668,$0.00 ,2,1,3,0,0.459,9,9,10,8,0.749,0.139,0.611,0.524,Strict RAG Evaluation: 2/6 answered.
12/11/25 0:26,3000,500,4,0.2,0.55,0.58,8,11.75,613,$0.00 ,1,0,5,0,0.419,9,9,10,8,0.55,0.27,0.28,0.225,Strict RAG Evaluation: 1/6 answered.
12/11/25 0:29,3000,500,4,0.2,0.55,0.58,10,4.28,456,$0.00 ,1,0,5,0,0.403,8,8,9,7,0.562,0.225,0.338,0.275,Strict RAG Evaluation: 1/6 answered.
12/11/25 0:31,3000,500,4,0.2,0.55,0.58,12,7.55,637,$0.00 ,2,0,4,0,0.389,8.67,8.5,9.5,8,0.574,0.185,0.389,0.321,Strict RAG Evaluation: 2/6 answered.
12/11/25 0:34,3000,500,4,0.2,0.55,0.58,14,7.01,575,$0.00 ,2,0,4,0,0.377,8.5,8.5,9.5,7.5,0.587,0.152,0.434,0.363,Strict RAG Evaluation: 2/6 answered.
12/11/25 0:36,3000,500,4,0.2,0.55,0.58,16,7.09,604,$0.00 ,2,0,4,0,0.367,8.5,8.5,9.5,7.5,0.599,0.124,0.474,0.401,Strict RAG Evaluation: 2/6 answered.
12/11/25 0:38,3000,500,4,0.2,0.55,0.58,18,6.71,555,$0.00 ,2,0,4,0,0.359,8.5,8.5,9.5,7.5,0.61,0.101,0.509,0.436,Strict RAG Evaluation: 2/6 answered.
12/11/25 0:40,3000,500,4,0.2,0.55,0.58,20,6.38,512,$0.00 ,2,0,4,0,0.352,9,9,10,8,0.622,0.082,0.54,0.466,Strict RAG Evaluation: 2/6 answered.
12/11/25 0:42,3000,500,4,0.2,0.55,0.6,8,0.03,233,$0.00 ,0,0,6,0,0.383,0,0,0,0,0.51,0.24,0.27,0.219,Strict RAG Evaluation: 0/6 answered.
12/11/25 0:43,3000,500,4,0.2,0.55,0.6,10,0.03,233,$0.00 ,0,0,6,0,0.36,0,0,0,0,0.513,0.192,0.321,0.263,Strict RAG Evaluation: 0/6 answered.
12/11/25 0:45,3000,500,4,0.2,0.55,0.6,12,0.03,233,$0.00 ,0,0,6,0,0.34,0,0,0,0,0.515,0.152,0.363,0.301,Strict RAG Evaluation: 0/6 answered.
12/11/25 0:46,3000,500,4,0.2,0.55,0.6,14,0.03,233,$0.00 ,0,0,6,0,0.322,0,0,0,0,0.518,0.12,0.398,0.334,Strict RAG Evaluation: 0/6 answered.
12/11/25 0:47,3000,500,4,0.2,0.55,0.6,16,3.98,413,$0.00 ,1,0,5,0,0.308,9,9,10,8,0.52,0.094,0.426,0.361,Strict RAG Evaluation: 1/6 answered.
12/11/25 0:47,3000,500,4,0.2,0.55,0.6,18,4.96,565,$0.00 ,1,0,5,0,0.295,9,9,10,8,0.523,0.073,0.45,0.384,Strict RAG Evaluation: 1/6 answered.
12/11/25 0:49,3000,500,4,0.2,0.55,0.6,20,3.95,442,$0.00 ,1,0,5,0,0.284,9.33,9,10,9,0.525,0.057,0.468,0.402,Strict RAG Evaluation: 1/6 answered.
